1e-06,4.84357242424172e+22,17278859.0740728,1037391.77912773,2201836781858.38,7.69443412302909e-13,2.75272255137875e-13,6.58703627739932e+21,2.71606678715574e-12,2.83608739554294e-12
0.0001,2.20216404510975e+22,17456378.2218256,1036756.1915128,60088865357867.5,1.05370793265055e-12,2.78618179195479e-13,3.25217942873288e+20,3.21918710199195e-12,3.09311179211486e-12
0.01,3.68928055716851e+22,8455591.37600867,976954.793457725,1.05454756772227,1.02103941696216e-12,2.75889241405766e-13,333390.908641053,3.1810911544129e-12,3.99682120819639e-12
1,1.46329037550832e+22,8455197.65457391,159165.367785867,61230442648.2243,9.24730015629325e-13,2.3962114642735e-13,46729012513070,3.15146125766471e-12,2.78882184966063e-12
100,1.88906786145391e+21,15291412.2844519,2108872.45961963,1437.71140714971,2.12883360986778e-13,2.08252592514807e-13,431451.253427907,2.15863978589051e-13,2.02603114190505e-13
10000,2.79614956115448e+17,149871454.437337,190953168.549761,7.28148714806244e-16,2.85672638698286e-13,2.83354737780298e-13,3.83090730341868e-13,1.85152494901395e-13,1.8515175993381e-13
1000000,2.78623250193657e+15,14728867127.7139,19031408254.7845,4.49830696537598e-16,1.22794777481815e-11,1.22794486087603e-11,9.30363888055218e-14,1.85782555445888e-13,1.85782555378293e-13
100000000,27862085072507.8,1601814842313.43,2072468474112.84,4.67810264410541e-16,1.22818032103148e-09,1.22818032041154e-09,1.03002258671414e-13,1.90684087598984e-13,1.90684087598946e-13
10000000000,430359690144665,8.27497781303908e+15,1.12305977030597e+16,3.20835743801626e-16,9.57906653066209e-09,9.57906653070929e-09,4.78988287001604e-14,5.41079140178144e-14,5.41079140180042e-14
1000000000000,45588942516.231,1730976768699.34,2350844351005.35,3.54240010543545e-16,7.24048418482095e-11,7.24048102035012e-11,4.05520344870696e-18,4.52083320892278e-18,4.52083320854086e-18
100000000000000,455340513.325738,17296122069.3951,22913203487.3932,3.61176335908774e-16,7.6174184218846e-13,7.61711426521767e-13,4.0679333749935e-22,4.52079147753733e-22,4.52078664009207e-22
